applicant_id,business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,debt_to_income_ratio,collateral_value,repayment_history,default_flag
APP_00001,Tech,29,21581788,287190,10089478,640,4,0.58,12188821,Good,0
APP_00002,Tech,6,3844769,37865,1192042,557,3,0.59,604444,Good,0
APP_00003,Services,10,47292155,777859,16063385,672,3,0.51,17547875,Good,0
APP_00004,Retail,9,11459014,96758,8769824,573,1,0.41,4524933,Good,0
APP_00005,Tech,7,3169995,39497,699405,627,3,0.35,713440,Good,0
APP_00006,Retail,18,41335801,499389,18067471,688,3,0.58,25689671,Good,0
APP_00007,Tech,25,35061725,387236,15188962,727,1,0.87,16814701,Good,0
APP_00008,Retail,1,548984,9089,364166,596,3,0.33,187210,Good,0
APP_00009,Services,1,19509001,220852,5258093,683,1,0.18,4578843,Average,0
APP_00010,Services,12,39570421,622315,19125530,747,4,0.88,25798691,Average,0
APP_00011,Services,9,32874990,391086,7076390,508,3,0.83,5302284,Good,0
APP_00012,Retail,4,23493420,210849,8783035,754,3,0.84,11489267,Average,0
APP_00013,Tech,28,44566131,702866,23335064,579,0,0.62,11679675,Good,0
APP_00014,Services,9,2454109,24993,667319,617,3,0.3,445963,Good,0
APP_00015,Tech,17,10774621,177043,8376927,648,0,0.22,12546462,Good,0
APP_00016,Trading,28,20272981,174525,8251969,482,0,0.29,5321652,Good,0
APP_00017,Tech,23,44649943,460503,28438879,790,2,0.75,36923479,Good,0
APP_00018,Retail,3,24935642,253562,15626910,509,2,0.38,9316397,Poor,1
APP_00019,Trading,8,16885802,188708,4526815,731,1,0.89,4602122,Good,0
APP_00020,Tech,5,42560836,667721,13331086,526,0,0.38,16343320,Average,0
APP_00021,Manufacturing,24,31331219,283061,9304658,672,2,0.4,13399949,Poor,0
APP_00022,Trading,2,19377237,233887,15437350,734,3,0.67,11381172,Good,0
APP_00023,Services,17,48542623,634415,12436855,513,4,0.49,17487446,Good,0
APP_00024,Manufacturing,28,35472607,551057,11993684,572,2,0.56,15214635,Good,0
APP_00025,Retail,14,37498516,588568,24322709,637,4,0.56,36005674,Good,0
